DB00537	DB00976	0.071
DB00537	DB00446	0.2
DB00537	DB01190	0.111
DB00537	DB00671	0.063
DB00537	DB01076	0.063
DB00537	DB01140	0.067
DB00537	DB00833	0.071
DB00537	DB00229	0.071
DB00537	DB01017	0.091
DB00537	DB00456	0.071
DB00537	DB00415	0.1
DB00537	DB01044	0.063
DB00537	DB00798	0.143
DB00537	DB00301	0.071
DB00537	DB01053	0.071
DB00537	DB00319	0.067
DB00537	DB00798	0.143
DB00537	DB00415	0.1
DB00537	DB00199	0.174
DB00537	DB00417	0.056
DB00537	DB01190	0.111
DB00537	DB01414	0.071
DB00537	DB00301	0.071
DB00537	DB00778	0.067
DB00537	DB00485	0.071
DB00537	DB00301	0.071
DB00537	DB01321	0.067
DB00537	DB00430	0.067
DB00537	DB01053	0.071
DB00334	DB00477	0.5
DB00334	DB00502	0.5
DB00334	DB01142	0.5
DB00334	DB00472	0.25
DB00334	DB01242	0.333
DB00334	DB00477	0.5
DB00334	DB00704	0.5
DB00334	DB00564	0.25
DB00334	DB01242	0.333
DB00334	DB01142	0.5
DB00334	DB00472	0.25
DB00334	DB00334	0.5
DB00661	DB00280	1.0
DB00661	DB00661	0.333
DB00661	DB00280	1.0
DB01075	DB00620	0.2
DB01075	DB00860	0.125
DB01075	DB00620	0.25
DB01075	DB00620	0.25
DB01075	DB00935	0.5
DB01075	DB00959	0.143
DB01075	DB01234	0.1
DB01075	DB00443	0.25
DB01075	DB00741	0.167
DB01075	DB00959	0.125
DB01075	DB01114	0.5
DB01075	DB00860	0.125
DB01075	DB00455	0.5
DB01075	DB00764	0.333
DB01075	DB00668	0.5
DB01075	DB00764	0.25
DB01075	DB00471	0.333
DB01075	DB01234	0.125
DB01075	DB00860	0.125
DB01075	DB00443	0.25
DB01075	DB00863	0.5
DB01075	DB01001	0.5
DB01075	DB00668	0.5
DB01075	DB00852	0.5
DB01075	DB01075	1.0
DB01075	DB00332	0.333
DB01075	DB01075	1.0
DB01075	DB00557	0.5
DB01075	DB01234	0.125
DB01075	DB00388	0.5
DB01075	DB00180	0.5
DB01075	DB00972	0.5
DB01075	DB00394	0.333
DB01075	DB00860	0.125
DB01075	DB00852	0.5
DB01075	DB00852	0.5
DB01075	DB00180	0.333
DB01075	DB00443	0.2
DB01075	DB01234	0.125
DB01075	DB00557	0.5
